BGCounts
3
3
3
5
4
5
15
5
5
10
9
8
4
8
10
4
7
12
5
3
5
4
6
7
7
11
13
4
5
10
10
8
6
4
7
12
7
6
5
7
6
5
4
7
9
5
2
7
9
9
